id	SampleType	GrowthCondtion	Genotype	SorghumType	Variety	GrowthCondtion_Variety	Variety_GrowthCondtion	SampleType_GrowthCondtion	GrowthCondtion_SampleType	SampleType_Variety	Variety_SampleType	Variety_SampleType_GrowthCondtion	SampleType_Variety_GrowthCondtion	shannon_entropy
CC0101FG1L0718176036	Leaf	Full N	G1	BTx623	Grain	Full N_Grain	Grain_Full N	Leaf_Full N	Full N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Full N	Leaf_Grain_Full N	2.80280778
CC0104LE17L0718176034	Leaf	Low N	E17	PI655972	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.272465292
CC0105FS2L0718177283	Leaf	Full N	S2	SanChiSan	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.630306046
CC0106FE10L0718177284	Leaf	Full N	E10	PI297155	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.154217126
CC0108LS3L0718177265	Leaf	Low N	S3	ICSV700	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	3.425055125
CC0113LE14L0718176035	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.915674146
CC0115FE6L0718177292	Leaf	Full N	E6	PI585954	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.649454423
CC0117FS6L0718177294	Leaf	Full N	S6	ChineseAmber	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.85472173
CC0117LS6L0718177273	Leaf	Low N	S6	ChineseAmber	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	3.4630936
CC0121LE11L0718177277	Leaf	Low N	E11	PI506069	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.687966248
