#SampleID	SampleType	Location	Rep	GrowthCondtion	SampleType_GrowthCondtion
CC08LNPS320718176431	NoPlantSoil	CentralCity	8	Low N	1NoPlantSoil_Low N
CC08LNPS310718176430	NoPlantSoil	CentralCity	8	Low N	1NoPlantSoil_Low N
CC06LNPS230718176422	NoPlantSoil	CentralCity	6	Low N	1NoPlantSoil_Low N
CC05FNPS170718176416	NoPlantSoil	CentralCity	5	Full N	1NoPlantSoil_Full N
CC05LNPS200718176419	NoPlantSoil	CentralCity	5	Low N	1NoPlantSoil_Low N
CC05FNPS180718176417	NoPlantSoil	CentralCity	5	Full N	1NoPlantSoil_Full N
CC04FNPS160718176415	NoPlantSoil	CentralCity	4	Full N	1NoPlantSoil_Full N
CC02FNPS70718176406	NoPlantSoil	CentralCity	2	Full N	1NoPlantSoil_Full N
CC05LNPS190718176418	NoPlantSoil	CentralCity	5	Low N	1NoPlantSoil_Low N
CC03LNPS110718176410	NoPlantSoil	CentralCity	3	Low N	1NoPlantSoil_Low N
CC04FNPS150718176414	NoPlantSoil	CentralCity	4	Full N	1NoPlantSoil_Full N
CC02LNPS60718176405	NoPlantSoil	CentralCity	2	Low N	1NoPlantSoil_Low N
CC07LNPS250718176424	NoPlantSoil	CentralCity	7	Low N	1NoPlantSoil_Low N
CC07FNPS280718176427	NoPlantSoil	CentralCity	7	Full N	1NoPlantSoil_Full N
CC04LNPS140718176413	NoPlantSoil	CentralCity	4	Low N	1NoPlantSoil_Low N
CC01LNPS10718176400	NoPlantSoil	CentralCity	1	Low N	1NoPlantSoil_Low N
CC03FNPS100718176409	NoPlantSoil	CentralCity	3	Full N	1NoPlantSoil_Full N
CC08FNPS300718176429	NoPlantSoil	CentralCity	8	Full N	1NoPlantSoil_Full N
CC01FNPS40718176403	NoPlantSoil	CentralCity	1	Full N	1NoPlantSoil_Full N
CC03FNPS90718176408	NoPlantSoil	CentralCity	3	Full N	1NoPlantSoil_Full N
CC01LNPS20718176401	NoPlantSoil	CentralCity	1	Low N	1NoPlantSoil_Low N
CC06FNPS210718176420	NoPlantSoil	CentralCity	6	Full N	1NoPlantSoil_Full N
CC07FNPS270718176426	NoPlantSoil	CentralCity	7	Full N	1NoPlantSoil_Full N
CC08FNPS290718176428	NoPlantSoil	CentralCity	8	Full N	1NoPlantSoil_Full N
CC06LNPS240718176423	NoPlantSoil	CentralCity	6	Low N	1NoPlantSoil_Low N
CC03LNPS120718176411	NoPlantSoil	CentralCity	3	Low N	1NoPlantSoil_Low N
CC02FNPS80718176407	NoPlantSoil	CentralCity	2	Full N	1NoPlantSoil_Full N
CC01FNPS30718176402	NoPlantSoil	CentralCity	1	Full N	1NoPlantSoil_Full N
CC07LNPS260718176425	NoPlantSoil	CentralCity	7	Low N	1NoPlantSoil_Low N
CC04LNPS130718176412	NoPlantSoil	CentralCity	4	Low N	1NoPlantSoil_Low N
CC06FNPS220718176421	NoPlantSoil	CentralCity	6	Full N	1NoPlantSoil_Full N
CC0121FE11S0718177760	Soil	CentralCity	1	Full N	2Soil_Full N
CC0121LE11S0718177753	Soil	CentralCity	1	Low N	2Soil_Low N
CC0222FE11S0718178578	Soil	CentralCity	2	Full N	2Soil_Full N
CC0222LE11S0718177766	Soil	CentralCity	2	Low N	2Soil_Low N
CC0313FE11S0718176308	Soil	CentralCity	3	Full N	2Soil_Full N
CC0313LE11S0718176315	Soil	CentralCity	3	Low N	2Soil_Low N
CC0424FE11S0718176337	Soil	CentralCity	4	Full N	2Soil_Full N
CC0424LE11S0718176327	Soil	CentralCity	4	Low N	2Soil_Low N
CC0516FE11S0718176343	Soil	CentralCity	5	Full N	2Soil_Full N
CC0516LE11S0718176350	Soil	CentralCity	5	Low N	2Soil_Low N
CC0619FE11S0718176356	Soil	CentralCity	6	Full N	2Soil_Full N
CC0619LE11S0718176363	Soil	CentralCity	6	Low N	2Soil_Low N
CC0715FE11S0718176383	Soil	CentralCity	7	Full N	2Soil_Full N
CC0715LE11S0718176373	Soil	CentralCity	7	Low N	2Soil_Low N
CC0819FE11S0718176390	Soil	CentralCity	8	Full N	2Soil_Full N
CC0819LE11S0718176397	Soil	CentralCity	8	Low N	2Soil_Low N
CC0113FE14S0718175378	Soil	CentralCity	1	Full N	2Soil_Full N
CC0113LE14S0718175375	Soil	CentralCity	1	Low N	2Soil_Low N
CC0220FE14S0718175384	Soil	CentralCity	2	Full N	2Soil_Full N
CC0220LE14S0718175381	Soil	CentralCity	2	Low N	2Soil_Low N
CC0311FE14S0718175387	Soil	CentralCity	3	Full N	2Soil_Full N
CC0311LE14S0718175390	Soil	CentralCity	3	Low N	2Soil_Low N
CC0422FE14S0718176336	Soil	CentralCity	4	Full N	2Soil_Full N
CC0422LE14S0718176326	Soil	CentralCity	4	Low N	2Soil_Low N
CC0512FE14S0718175393	Soil	CentralCity	5	Full N	2Soil_Full N
CC0512LE14S0718175396	Soil	CentralCity	5	Low N	2Soil_Low N
CC0612FE14S0718175399	Soil	CentralCity	6	Full N	2Soil_Full N
CC0612LE14S0718175402	Soil	CentralCity	6	Low N	2Soil_Low N
CC0722FE14S0718176385	Soil	CentralCity	7	Full N	2Soil_Full N
CC0722LE14S0718176375	Soil	CentralCity	7	Low N	2Soil_Low N
CC0821FE14S0718175405	Soil	CentralCity	8	Full N	2Soil_Full N
CC0821LE14S0718175408	Soil	CentralCity	8	Low N	2Soil_Low N
CC0104FE17S0718175377	Soil	CentralCity	1	Full N	2Soil_Full N
CC0104LE17S0718175374	Soil	CentralCity	1	Low N	2Soil_Low N
CC0205FE17S0718175383	Soil	CentralCity	2	Full N	2Soil_Full N
CC0205LE17S0718175380	Soil	CentralCity	2	Low N	2Soil_Low N
CC0303FE17S0718175386	Soil	CentralCity	3	Full N	2Soil_Full N
CC0303LE17S0718175389	Soil	CentralCity	3	Low N	2Soil_Low N
CC0403FE17S0718176329	Soil	CentralCity	4	Full N	2Soil_Full N
CC0403LE17S0718176319	Soil	CentralCity	4	Low N	2Soil_Low N
CC0505FE17S0718175392	Soil	CentralCity	5	Full N	2Soil_Full N
CC0505LE17S0718175395	Soil	CentralCity	5	Low N	2Soil_Low N
CC0605FE17S0718175398	Soil	CentralCity	6	Full N	2Soil_Full N
CC0605LE17S0718175401	Soil	CentralCity	6	Low N	2Soil_Low N
CC0705FE17S0718176378	Soil	CentralCity	7	Full N	2Soil_Full N
CC0705LE17S0718176368	Soil	CentralCity	7	Low N	2Soil_Low N
CC0804FE17S0718175404	Soil	CentralCity	8	Full N	2Soil_Full N
CC0804LE17S0718175407	Soil	CentralCity	8	Low N	2Soil_Low N
CC0112FE4S0718177758	Soil	CentralCity	1	Full N	2Soil_Full N
CC0112LE4S0718177751	Soil	CentralCity	1	Low N	2Soil_Low N
CC0216FE4S0718176301	Soil	CentralCity	2	Full N	2Soil_Full N
CC0216LE4S0718177765	Soil	CentralCity	2	Low N	2Soil_Low N
CC0315FE4S0718176309	Soil	CentralCity	3	Full N	2Soil_Full N
CC0315LE4S0718176316	Soil	CentralCity	3	Low N	2Soil_Low N
CC0416FE4S0718176334	Soil	CentralCity	4	Full N	2Soil_Full N
CC0416LE4S0718176324	Soil	CentralCity	4	Low N	2Soil_Low N
CC0509FE4S0718176340	Soil	CentralCity	5	Full N	2Soil_Full N
CC0509LE4S0718176347	Soil	CentralCity	5	Low N	2Soil_Low N
CC0624FE4S0718176358	Soil	CentralCity	6	Full N	2Soil_Full N
CC0624LE4S0718176365	Soil	CentralCity	6	Low N	2Soil_Low N
CC0714FE4S0718176382	Soil	CentralCity	7	Full N	2Soil_Full N
CC0714LE4S0718176372	Soil	CentralCity	7	Low N	2Soil_Low N
CC0820FE4S0718176391	Soil	CentralCity	8	Full N	2Soil_Full N
CC0820LE4S0718176398	Soil	CentralCity	8	Low N	2Soil_Low N
CC0115FE6S0718177759	Soil	CentralCity	1	Full N	2Soil_Full N
CC0115LE6S0718177752	Soil	CentralCity	1	Low N	2Soil_Low N
CC0212FE6S0718176300	Soil	CentralCity	2	Full N	2Soil_Full N
CC0212LE6S0718177764	Soil	CentralCity	2	Low N	2Soil_Low N
CC0322FE6S0718176310	Soil	CentralCity	3	Full N	2Soil_Full N
CC0322LE6S0718176317	Soil	CentralCity	3	Low N	2Soil_Low N
CC0413FE6S0718176333	Soil	CentralCity	4	Full N	2Soil_Full N
CC0413LE6S0718176323	Soil	CentralCity	4	Low N	2Soil_Low N
CC0514FE6S0718176342	Soil	CentralCity	5	Full N	2Soil_Full N
CC0514LE6S0718176349	Soil	CentralCity	5	Low N	2Soil_Low N
CC0620FE6S0718176357	Soil	CentralCity	6	Full N	2Soil_Full N
CC0620LE6S0718176364	Soil	CentralCity	6	Low N	2Soil_Low N
CC0709FE6S0718176381	Soil	CentralCity	7	Full N	2Soil_Full N
CC0709LE6S0718176371	Soil	CentralCity	7	Low N	2Soil_Low N
CC0810LE6S0718176396	Soil	CentralCity	8	Low N	2Soil_Low N
CC0122FE9S0718177761	Soil	CentralCity	1	Full N	2Soil_Full N
CC0122LE9S0718177754	Soil	CentralCity	1	Low N	2Soil_Low N
CC0208FE9S0718176299	Soil	CentralCity	2	Full N	2Soil_Full N
CC0208LE9S0718177763	Soil	CentralCity	2	Low N	2Soil_Low N
CC0308FE9S0718176306	Soil	CentralCity	3	Full N	2Soil_Full N
CC0308LE9S0718176313	Soil	CentralCity	3	Low N	2Soil_Low N
CC0417FE9S0718176335	Soil	CentralCity	4	Full N	2Soil_Full N
CC0417LE9S0718176325	Soil	CentralCity	4	Low N	2Soil_Low N
CC0510LE9S0718176348	Soil	CentralCity	5	Low N	2Soil_Low N
CC0611FE9S0718176354	Soil	CentralCity	6	Full N	2Soil_Full N
CC0611LE9S0718176361	Soil	CentralCity	6	Low N	2Soil_Low N
CC0720FE9S0718176384	Soil	CentralCity	7	Full N	2Soil_Full N
CC0720LE9S0718176374	Soil	CentralCity	7	Low N	2Soil_Low N
CC0807FE9S0718176388	Soil	CentralCity	8	Full N	2Soil_Full N
