SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	GrowthCondtion_Genotype	Genotype_GrowthCondtion	Variety	Variety_GrowthCondtion	GrowthCondtion_Variety	Race	Population	Class	Race_info
CC0119FE1R0718176948	71817	Root	CentralCity	Rep1	Plot19	HighN	E1	PI329311	Plate87	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0119LE1R0718176927	71817	Root	CentralCity	Rep1	Plot19	LowN	E1	PI329311	Plate87	LowN_E1	E1_LowN	Energy	Energy_LowN	LowN_Energy	Durra	F6	Tolerant	Durra
CC0209FE1R0718176981	71817	Root	CentralCity	Rep2	Plot9	HighN	E1	PI329311	Plate87	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0209LE1R0718176960	71817	Root	CentralCity	Rep2	Plot9	LowN	E1	PI329311	Plate79	LowN_E1	E1_LowN	Energy	Energy_LowN	LowN_Energy	Durra	F6	Tolerant	Durra
CC0321FE1R0718177013	71817	Root	CentralCity	Rep3	Plot21	HighN	E1	PI329311	Plate80	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0415FE1R0718177076	71817	Root	CentralCity	Rep4	Plot15	HighN	E1	PI329311	Plate81	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0517FE1R0718177099	71817	Root	CentralCity	Rep5	Plot17	HighN	E1	PI329311	Plate86	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0517LE1R0718177120	71817	Root	CentralCity	Rep5	Plot17	LowN	E1	PI329311	Plate86	LowN_E1	E1_LowN	Energy	Energy_LowN	LowN_Energy	Durra	F6	Tolerant	Durra
CC0615FE1R0718177139	71817	Root	CentralCity	Rep6	Plot15	HighN	E1	PI329311	Plate81	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0716FE1R0718177209	71817	Root	CentralCity	Rep7	Plot16	HighN	E1	PI329311	Plate81	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0716LE1R0718177185	71817	Root	CentralCity	Rep7	Plot16	LowN	E1	PI329311	Plate88	LowN_E1	E1_LowN	Energy	Energy_LowN	LowN_Energy	Durra	F6	Tolerant	Durra
CC0815FE1R0718177230	71817	Root	CentralCity	Rep8	Plot15	HighN	E1	PI329311	Plate82	HighN_E1	E1_HighN	Energy	Energy_HighN	HighN_Energy	Durra	F6	Tolerant	Durra
CC0815LE1R0718177251	71817	Root	CentralCity	Rep8	Plot15	LowN	E1	PI329311	Plate85	LowN_E1	E1_LowN	Energy	Energy_LowN	LowN_Energy	Durra	F6	Tolerant	Durra
CC0106LE10R0718176915	71817	Root	CentralCity	Rep1	Plot6	LowN	E10	PI297155	Plate86	LowN_E10	E10_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0203FE10R0718176976	71817	Root	CentralCity	Rep2	Plot3	HighN	E10	PI297155	Plate80	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0203LE10R0718176955	71817	Root	CentralCity	Rep2	Plot3	LowN	E10	PI297155	Plate81	LowN_E10	E10_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0306FE10R0718176999	71817	Root	CentralCity	Rep3	Plot6	HighN	E10	PI297155	Plate80	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0306LE10R0718177020	71817	Root	CentralCity	Rep3	Plot6	LowN	E10	PI297155	Plate81	LowN_E10	E10_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0404FE10R0718177065	71817	Root	CentralCity	Rep4	Plot4	HighN	E10	PI297155	Plate81	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0506FE10R0718177089	71817	Root	CentralCity	Rep5	Plot6	HighN	E10	PI297155	Plate88	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0604FE10R0718177130	71817	Root	CentralCity	Rep6	Plot4	HighN	E10	PI297155	Plate80	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0704FE10R0718177197	71817	Root	CentralCity	Rep7	Plot4	HighN	E10	PI297155	Plate85	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0805FE10R0718177220	71817	Root	CentralCity	Rep8	Plot5	HighN	E10	PI297155	Plate83	HighN_E10	E10_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0805LE10R0718177241	71817	Root	CentralCity	Rep8	Plot5	LowN	E10	PI297155	Plate85	LowN_E10	E10_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0121FE11R0718176950	71817	Root	CentralCity	Rep1	Plot21	HighN	E11	PI506069	Plate80	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0121LE11R0718176929	71817	Root	CentralCity	Rep1	Plot21	LowN	E11	PI506069	Plate88	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0222FE11R0718176993	71817	Root	CentralCity	Rep2	Plot22	HighN	E11	PI506069	Plate87	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0222LE11R0718176972	71817	Root	CentralCity	Rep2	Plot22	LowN	E11	PI506069	Plate88	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0313FE11R0718177005	71817	Root	CentralCity	Rep3	Plot13	HighN	E11	PI506069	Plate88	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0313LE11R0718177026	71817	Root	CentralCity	Rep3	Plot13	LowN	E11	PI506069	Plate84	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0424LE11R0718177061	71817	Root	CentralCity	Rep4	Plot24	LowN	E11	PI506069	Plate88	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0516FE11R0718177098	71817	Root	CentralCity	Rep5	Plot16	HighN	E11	PI506069	Plate87	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0516LE11R0718177119	71817	Root	CentralCity	Rep5	Plot16	LowN	E11	PI506069	Plate79	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0715FE11R0718177208	71817	Root	CentralCity	Rep7	Plot15	HighN	E11	PI506069	Plate87	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0715LE11R0718177184	71817	Root	CentralCity	Rep7	Plot15	LowN	E11	PI506069	Plate83	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0819FE11R0718177234	71817	Root	CentralCity	Rep8	Plot19	HighN	E11	PI506069	Plate81	HighN_E11	E11_HighN	Energy	Energy_HighN	HighN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0819LE11R0718177255	71817	Root	CentralCity	Rep8	Plot19	LowN	E11	PI506069	Plate82	LowN_E11	E11_LowN	Energy	Energy_LowN	LowN_Energy	Guinea/bicolor	F5	Tolerant	Intermediate
CC0123FE13R0718176952	71817	Root	CentralCity	Rep1	Plot23	HighN	E13	PI297130	Plate81	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0123LE13R0718176931	71817	Root	CentralCity	Rep1	Plot23	LowN	E13	PI297130	Plate80	LowN_E13	E13_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0221FE13R0718176992	71817	Root	CentralCity	Rep2	Plot21	HighN	E13	PI297130	Plate84	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0221LE13R0718176971	71817	Root	CentralCity	Rep2	Plot21	LowN	E13	PI297130	Plate82	LowN_E13	E13_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0310FE13R0718177003	71817	Root	CentralCity	Rep3	Plot10	HighN	E13	PI297130	Plate83	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0310LE13R0718177024	71817	Root	CentralCity	Rep3	Plot10	LowN	E13	PI297130	Plate81	LowN_E13	E13_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0420FE13R0718177081	71817	Root	CentralCity	Rep4	Plot20	HighN	E13	PI297130	Plate82	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0520FE13R0718177102	71817	Root	CentralCity	Rep5	Plot20	HighN	E13	PI297130	Plate81	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0520LE13R0718177123	71817	Root	CentralCity	Rep5	Plot20	LowN	E13	PI297130	Plate84	LowN_E13	E13_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum	F5	Tolerant	Caudatum
CC0621FE13R0718177145	71817	Root	CentralCity	Rep6	Plot21	HighN	E13	PI297130	Plate80	HighN_E13	E13_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum	F5	Tolerant	Caudatum
