SampleType_GrowthCondtion,SampleType,Bacteroidota,Myxococcota,Planctomycetota,Chloroflexi,Acidobacteriota,Firmicutes,Gemmatimonadota,Crenarchaeota,Nitrososphaeraceae
Soil Between Rows_Low N,Soil Between Rows,0.033719467,0.055581931,0.021435184,0.091105467,0.06054312,0.115294229,0.029612837,0.052757139,0.052721533
Soil Between Rows_Low N,Soil Between Rows,0.040998198,0.059924644,0.023611642,0.086921859,0.065734724,0.06941517,0.034532846,0.040539507,0.040463059
Soil Between Rows_Low N,Soil Between Rows,0.055827352,0.041459844,0.017260055,0.078693949,0.051470676,0.062933733,0.022438072,0.031901344,0.031901344
Soil Between Rows_Full N,Soil Between Rows,0.055151515,0.038614719,0.015622896,0.073285233,0.047195767,0.119259259,0.022356902,0.030832131,0.030832131
Soil Between Rows_Low N,Soil Between Rows,0.04241392,0.043741836,0.027157322,0.096223379,0.061712001,0.106088927,0.021203352,0.040725158,0.040725158
Soil Between Rows_Full N,Soil Between Rows,0.09354072,0.046029919,0.017185761,0.05949933,0.049972646,0.09230508,0.02245845,0.028391405,0.028391405
Soil Between Rows_Full N,Soil Between Rows,0.071285171,0.044452597,0.02259317,0.066199925,0.063560488,0.108787592,0.029196857,0.024743445,0.024733254
Soil Between Rows_Full N,Soil Between Rows,0.101516422,0.048128769,0.012874279,0.051936467,0.048674628,0.119489822,0.021807725,0.03404295,0.034003009
Soil Between Rows_Low N,Soil Between Rows,0.060783793,0.048492763,0.015345344,0.077796468,0.041742287,0.094617325,0.020258805,0.027776548,0.027776548
Soil Between Rows_Low N,Soil Between Rows,0.0419249,0.043831852,0.017162568,0.080512634,0.058386382,0.157519841,0.025715808,0.041644466,0.041616422
Soil Between Rows_Full N,Soil Between Rows,0.035790759,0.039501248,0.015127973,0.091448096,0.03957082,0.059190031,0.017284695,0.054381856,0.054381856
Soil Between Rows_Low N,Soil Between Rows,0.05148224,0.040967912,0.014310709,0.059041991,0.049575796,0.152787865,0.023545821,0.048849531,0.048849531
Soil Between Rows_Low N,Soil Between Rows,0.057796266,0.044320055,0.020626462,0.073112755,0.049208297,0.127688533,0.016351647,0.061131772,0.061112602
Soil Between Rows_Full N,Soil Between Rows,0.044649177,0.029391607,0.014010449,0.048177069,0.04528959,0.248929835,0.013055446,0.092399303,0.092399303
Soil Between Rows_Low N,Soil Between Rows,0.058544304,0.030063291,0.02056962,0.064873418,0.080696203,0.069620253,0.015822785,0.049050633,0.049050633
Soil Between Rows_Low N,Soil Between Rows,0.1,0.052085922,0.023681875,0.059488727,0.084555299,0.111965205,0.015533464,0.089224214,0.089224214
Soil Between Rows_Full N,Soil Between Rows,0.084444444,0.038949495,0.014760943,0.047057239,0.046949495,0.153212121,0.017373737,0.073912458,0.073912458
Soil Between Rows_Full N,Soil Between Rows,0.058122848,0.060229771,0.021036042,0.074364398,0.049819584,0.072680519,0.02946373,0.053311766,0.053278587
Soil Between Rows_Full N,Soil Between Rows,0.084694265,0.049677174,0.020787441,0.08287125,0.043245981,0.131434359,0.018609951,0.068363084,0.068363084
Soil Between Rows_Full N,Soil Between Rows,0.089488706,0.042080245,0.014367676,0.059009751,0.058045412,0.148254936,0.022150573,0.050048217,0.049736511
Soil Between Rows_Low N,Soil Between Rows,0.048744254,0.049703464,0.018622715,0.068372969,0.041526782,0.113654708,0.018844971,0.071390972,0.071390972
Soil Between Rows_Full N,Soil Between Rows,0.03764456,0.037565888,0.01892062,0.104201086,0.046337818,0.173511132,0.01833058,0.048619306,0.048619306
Soil Between Rows_Full N,Soil Between Rows,0.066717764,0.050797064,0.025005015,0.064721889,0.093368861,0.059814507,0.042530645,0.069238327,0.069222895
Soil Between Rows_Full N,Soil Between Rows,0.046745266,0.048688817,0.025444802,0.092325831,0.058370847,0.075126831,0.024087174,0.065409075,0.065401929
Soil Between Rows_Low N,Soil Between Rows,0.042645657,0.041358859,0.019998011,0.09538098,0.052384378,0.109752174,0.020553674,0.067071423,0.067042178
Soil Between Rows_Low N,Soil Between Rows,0.032980837,0.046121402,0.019246435,0.073087728,0.076498489,0.150431294,0.026349649,0.087080983,0.087012463
Soil Between Rows_Full N,Soil Between Rows,0.084594686,0.029168769,0.012413808,0.048299277,0.050601245,0.266134797,0.019466868,0.051442146,0.051347545
Soil Between Rows_Full N,Soil Between Rows,0.036182818,0.044416641,0.017985612,0.082439419,0.039917938,0.12684686,0.019163186,0.064315811,0.064297411
Soil Between Rows_Low N,Soil Between Rows,0.042455532,0.045701368,0.020108907,0.115460107,0.055133385,0.081741601,0.025859765,0.064565402,0.06454249
Soil Between Rows_Low N,Soil Between Rows,0.057716364,0.040443704,0.017247807,0.092402515,0.051594304,0.099908045,0.021340226,0.050467646,0.050451077
Soil Between Rows_Full N,Soil Between Rows,0.036955867,0.049804298,0.023729336,0.104691953,0.063920067,0.136571465,0.020627508,0.057982481,0.057968478
Soil Within Row_Full N,Soil Within Row,0.103078171,0.059868339,0.02848751,0.066911673,0.067057801,0.022109055,0.040009644,0.036246867,0.036246867
Soil Within Row_Low N,Soil Within Row,0.077094758,0.04831973,0.045394401,0.078130978,0.094367746,0.018659929,0.034067721,0.048686392,0.048686392
Soil Within Row_Full N,Soil Within Row,0.064498363,0.050413569,0.049505859,0.073555059,0.098012218,0.026833522,0.017929811,0.068047609,0.06803741
Soil Within Row_Low N,Soil Within Row,0.073164475,0.059679287,0.02480102,0.059891825,0.055538455,0.034460519,0.03103792,0.049836565,0.049829236
Soil Within Row_Full N,Soil Within Row,0.06,0.05,0.05,0.02,0.09,0.05,0.05,0.02,0.02
Soil Within Row_Low N,Soil Within Row,0.064088761,0.054595588,0.036331408,0.075275735,0.103991597,0.037710084,0.022150735,0.035084034,0.035084034
Soil Within Row_Full N,Soil Within Row,0.080527675,0.055806305,0.040040398,0.053223341,0.083360891,0.031826754,0.02539169,0.070437137,0.070437137
Soil Within Row_Low N,Soil Within Row,0.082300261,0.060188945,0.028972342,0.055967597,0.084843757,0.03414483,0.027476168,0.058361476,0.058361476
Soil Within Row_Full N,Soil Within Row,0.094198146,0.036716258,0.021197937,0.063534182,0.066381444,0.078292239,0.018917146,0.047285412,0.047285412
Soil Within Row_Low N,Soil Within Row,0.06787031,0.037009935,0.023106583,0.079564324,0.057569446,0.058920379,0.015043202,0.054712786,0.054712786
Soil Within Row_Full N,Soil Within Row,0.073955778,0.050887994,0.019403169,0.056087889,0.054436884,0.060084248,0.02073786,0.047431684,0.047431684
Soil Within Row_Low N,Soil Within Row,0.077008608,0.0535599,0.025260043,0.061549498,0.066176471,0.058724892,0.022300933,0.055021521,0.055021521
Soil Within Row_Full N,Soil Within Row,0.0697861,0.049272393,0.019353485,0.072982881,0.050926326,0.058640566,0.028783372,0.034349967,0.034349967
Soil Within Row_Low N,Soil Within Row,0.084769861,0.050204938,0.019454414,0.07376792,0.05053833,0.077003785,0.021140986,0.044478437,0.044478437
Soil Within Row_Full N,Soil Within Row,0.065535635,0.051521903,0.018968437,0.063891095,0.051704629,0.054389306,0.021217382,0.064425219,0.064425219
Soil Within Row_Low N,Soil Within Row,0.088722421,0.045831626,0.020329783,0.068509686,0.050915901,0.051106104,0.017637678,0.047243518,0.047243518
Soil Within Row_Full N,Soil Within Row,0.114502981,0.060725149,0.035454435,0.041708237,0.105438618,0.021073123,0.050103419,0.036999635,0.036999635
Soil Within Row_Low N,Soil Within Row,0.082773432,0.063780775,0.040468877,0.04841148,0.091915823,0.029286846,0.039808994,0.03096655,0.03096655
Soil Within Row_Full N,Soil Within Row,0.086650466,0.06471741,0.038410285,0.043756369,0.104350553,0.02224661,0.042690288,0.028345222,0.028345222
Soil Within Row_Low N,Soil Within Row,0.070661153,0.060902402,0.047090333,0.051615684,0.118654503,0.025972027,0.036018101,0.043950293,0.043950293
Soil Within Row_Full N,Soil Within Row,0.071346545,0.05164164,0.017190681,0.063081795,0.057496564,0.041663042,0.026308005,0.0198702,0.0198702
Soil Within Row_Low N,Soil Within Row,0.088735628,0.042154424,0.025482249,0.052321233,0.074924771,0.032283314,0.033640048,0.021090258,0.021090258
Soil Within Row_Full N,Soil Within Row,0.054106622,0.054509376,0.033919783,0.059352253,0.073959469,0.034784232,0.025933457,0.06533463,0.06533463
Soil Within Row_Low N,Soil Within Row,0.078337925,0.046332564,0.040032765,0.071844516,0.093514037,0.033032988,0.026360861,0.040300841,0.040300841
Soil Within Row_Full N,Soil Within Row,0.072114499,0.049407236,0.037203874,0.05589795,0.115911464,0.025287168,0.032740228,0.022973443,0.022973443
Soil Within Row_Low N,Soil Within Row,0.089660693,0.049879919,0.033882765,0.049298328,0.103003058,0.032569055,0.035552271,0.026000506,0.026000506
Soil Within Row_Full N,Soil Within Row,0.067975588,0.051714446,0.045185899,0.055119248,0.12572874,0.02988035,0.028748093,0.022364089,0.022364089
Soil Within Row_Low N,Soil Within Row,0.098254178,0.060524574,0.031751613,0.052374648,0.07347344,0.026663081,0.032744498,0.018720007,0.018720007
Soil Within Row_Full N,Soil Within Row,0.07603767,0.053017091,0.022671782,0.061388211,0.053017091,0.048482735,0.028252529,0.036972445,0.036972445
Soil Within Row_Low N,Soil Within Row,0.073962509,0.050828965,0.022042488,0.086359432,0.050322968,0.049105413,0.02353676,0.06109912,0.06109912
Soil Within Row_Full N,Soil Within Row,0.065085549,0.062716375,0.033468754,0.044380302,0.087342437,0.024876327,0.032167377,0.039500138,0.039500138
